data,forn,area,eta,m,f,d1,d2,dpi,db1,db2,db3,N1,N2,ISTAT,reg
2023-01-01,Pfizer/BioNTech,EMR,30-39,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,40-49,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,50-59,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,60-69,4.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,70-79,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,80-89,4.0,3.0,0.0,0.0,0.0,0.0,3.0,4.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,EMR,90+,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,ITH,ITH5,8.0,Emilia-Romagna
2023-01-01,Pfizer/BioNTech,LOM,20-29,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,ITC,ITC4,3.0,Lombardia
2023-01-01,Pfizer/BioNTech,LOM,30-39,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,ITC,ITC4,3.0,Lombardia
2023-01-01,Pfizer/BioNTech,LOM,40-49,4.0,6.0,0.0,0.0,0.0,1.0,9.0,0.0,ITC,ITC4,3.0,Lombardia
2023-01-01,Pfizer/BioNTech,LOM,50-59,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,ITC,ITC4,3.0,Lombardia
2023-01-01,Pfizer/BioNTech,LOM,60-69,3.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,ITC,ITC4,3.0,Lombardia
2023-01-01,Pfizer/BioNTech,MAR,90+,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITI,ITI3,11.0,Marche
2023-01-01,Pfizer/BioNTech,PIE,60-69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ITC,ITC1,1.0,Piemonte
2023-01-01,Pfizer/BioNTech,PIE,80-89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITC,ITC1,1.0,Piemonte
2023-01-01,Pfizer/BioNTech,PUG,70-79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF4,16.0,Puglia
2023-01-01,Pfizer/BioNTech,SAR,30-39,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,ITG,ITG2,20.0,Sardegna
2023-01-01,Pfizer/BioNTech,SIC,12-19,2.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,20-29,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,30-39,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,40-49,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,50-59,3.0,5.0,0.0,0.0,0.0,2.0,6.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,60-69,3.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,ITG,ITG1,19.0,Sicilia
2023-01-01,Pfizer/BioNTech,SIC,70-79,3.0,2.0,0.0,0.0,0.0,1.0,4.0,0.0,ITG,ITG1,19.0,Sicilia
2023-01-02,Moderna,BAS,60-69,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF5,17.0,Basilicata
2023-01-02,Moderna,BAS,70-79,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF5,17.0,Basilicata
2023-01-02,Moderna,BAS,90+,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF5,17.0,Basilicata
2023-01-02,Moderna,CAL,40-49,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF6,18.0,Calabria
2023-01-02,Moderna,CAL,50-59,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,ITF,ITF6,18.0,Calabria
2023-01-02,Moderna,CAL,60-69,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF6,18.0,Calabria
2023-01-02,Moderna,CAL,70-79,3.0,3.0,0.0,0.0,0.0,0.0,5.0,1.0,ITF,ITF6,18.0,Calabria
2023-01-02,Moderna,CAL,80-89,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,ITF,ITF6,18.0,Calabria
